 Element ID, Tensor(Element Stresses (2D & 3D)),
57737,7.818E-02 -5.954E-02 -5.248E-02 -1.338E-01 -4.669E-03 1.136E-03 ,
57736,-2.206E-01 1.122E-01 -3.879E-01 2.518E-01 -3.893E-02 -7.416E-02 ,
57735,5.840E-01 -6.342E-04 8.903E-02 3.162E-01 9.849E-03 1.708E-02 ,
57734,1.938E-01 1.304E-01 5.204E-02 8.128E-02 1.496E-02 -9.300E-03 ,
57733,-5.472E-01 -2.150E-03 -4.414E-02 1.821E-01 -5.667E-02 1.181E-02 ,
57732,2.971E-01 -1.607E-01 -8.214E-02 1.211E-01 -8.805E-04 1.087E-02 ,
57731,2.100E-01 6.115E-02 1.927E-02 8.533E-02 8.250E-03 -4.452E-03 ,
57730,-2.395E+00 3.498E-01 -7.437E-01 2.180E-01 1.216E-01 -6.422E-02 ,
57729,-2.733E-02 -4.715E-02 -7.769E-02 4.569E-01 1.159E-02 1.901E-02 ,
57728,5.654E-01 8.086E-02 1.498E-01 8.436E-03 6.116E-03 1.082E-02 ,
57727,-4.836E-01 8.023E-01 1.948E-01 6.103E-01 -1.214E-02 6.142E-04 ,
57726,-5.621E-01 5.130E-02 -2.218E-01 -1.406E-01 -2.957E-03 4.274E-02 ,
57725,1.275E-01 -4.526E-01 4.211E-02 6.569E-02 -9.224E-03 -4.515E-03 ,
57724,7.274E-01 2.791E+00 1.112E+00 2.002E-01 -7.624E-01 2.939E-01 ,
57723,-7.940E-03 -1.510E-02 4.083E-04 -4.468E-04 4.020E-03 2.825E-04 ,
57722,-8.615E-02 -1.055E-01 -1.089E-01 -2.826E-01 5.591E-02 -1.759E-02 ,
57721,-2.454E+00 -7.921E-01 -9.955E-01 1.118E-01 1.929E-02 -1.364E-03 ,
57720,-1.362E-01 4.292E-01 1.553E-01 4.904E-01 2.003E-02 -1.566E-02 ,
57719,1.495E-01 1.769E-01 2.938E-01 9.053E-02 -9.246E-03 1.935E-02 ,
57718,-1.279E-02 3.759E-02 -1.331E-02 4.628E-02 7.228E-03 3.030E-03 ,
57717,1.221E+00 7.212E-01 3.450E-01 6.629E-01 1.403E-02 -2.942E-02 ,
57716,1.973E+00 1.934E+00 1.330E+00 1.429E+00 -1.230E-01 -1.607E-01 ,
57715,-2.470E-01 4.570E-01 2.016E-01 9.724E-02 -3.083E-02 -1.800E-02 ,
57714,3.617E-01 9.621E-02 1.421E-01 -1.429E-01 -2.205E-02 5.440E-03 ,
57713,-1.750E-02 -1.025E-01 2.952E-02 -3.381E-01 1.458E-02 -1.145E-02 ,
57712,-1.346E-01 -7.099E-01 -1.797E-01 4.845E-02 -1.311E-02 1.833E-03 ,
57711,-3.160E-02 -5.135E-02 -7.749E-03 2.295E-01 -2.752E-03 -1.201E-02 ,
57710,3.683E-01 -1.080E-02 3.414E-02 -1.726E-02 -1.076E-02 5.699E-03 ,
57709,-5.145E-01 1.102E+00 1.789E-01 2.723E-01 6.724E-02 -1.570E-02 ,
57708,-4.793E-02 -3.054E-01 -8.197E-02 2.234E-01 -3.669E-03 -2.623E-04 ,
57707,-1.079E+00 -2.320E-01 -3.749E-01 -2.339E-03 2.148E-02 9.637E-03 ,
57706,-8.122E-01 3.331E-02 -7.978E-02 -1.986E-01 6.042E-02 2.691E-02 ,
57705,-7.783E-02 -1.443E-01 -1.805E-01 1.800E-01 1.186E-02 2.149E-03 ,
57704,3.379E-01 -3.920E-02 -6.251E-02 2.878E-01 2.633E-03 8.079E-04 ,
57703,4.933E-01 -4.139E-01 -1.079E-01 3.069E-01 3.249E-03 -1.528E-02 ,
57702,2.319E-01 -8.970E-02 -3.173E-02 -1.167E-01 7.918E-03 8.718E-03 ,
57701,-7.175E-02 -1.264E-01 -6.971E-02 2.516E-01 -4.531E-03 1.535E-04 ,
57700,9.167E-02 -3.655E-01 -2.293E-01 -7.503E-02 1.072E-02 1.081E-02 ,
57699,-1.907E-01 4.873E-02 -5.815E-02 9.353E-02 4.253E-03 -6.893E-03 ,
57698,-5.051E-02 -1.997E-01 -4.639E-02 2.111E-01 1.534E-03 1.177E-02 ,
57697,4.243E-01 -3.015E-03 -5.534E-02 3.342E-01 -1.139E-02 -5.497E-03 ,
57696,3.598E-02 -3.240E-01 -2.910E-02 2.004E-01 -4.447E-03 1.361E-02 ,
57695,1.461E-01 -1.816E-01 9.487E-02 1.999E-01 8.813E-04 1.718E-02 ,
57694,1.183E-01 -1.232E-02 -3.571E-02 1.118E-01 -3.087E-03 -1.760E-02 ,
57693,5.733E-01 1.379E-01 -3.814E-03 3.409E-01 -6.920E-03 -1.943E-02 ,
57692,-1.790E-02 -1.858E-02 -3.635E-02 -3.626E-02 7.240E-03 -1.075E-03 ,
