 Element ID, Tensor(Element Stresses (2D & 3D)),
64,2.671E-01 -1.818E+01 -6.408E+00 -5.932E-01 2.872E+01 8.063E-02 ,
65,3.579E+01 1.048E+02 1.868E+01 -4.013E+00 2.004E+01 2.455E+00 ,
66,-4.432E+01 -1.034E+02 -4.432E+01 -5.832E-01 3.258E+01 -9.636E-16 ,
67,2.208E+00 -4.092E+00 6.472E-01 1.246E+00 5.352E+00 4.656E-01 ,
68,1.129E+00 5.605E+01 5.823E+00 -1.407E+00 1.549E+01 5.523E-01 ,
69,3.510E+01 1.012E+02 3.523E+01 -2.532E+01 8.815E+00 6.157E+00 ,
70,-3.773E+00 6.603E+01 -2.443E+00 6.503E-01 7.693E+00 1.499E+00 ,
71,2.923E+00 8.945E+01 -7.860E-01 -1.413E+00 2.962E+00 1.441E-01 ,
72,1.696E+00 -2.305E+00 6.666E-01 -1.482E+00 1.732E+00 1.646E-01 ,
73,-2.029E-01 -2.531E+00 -1.170E-01 -9.896E-01 9.014E-01 -3.234E-01 ,
74,-9.530E-01 -2.021E+01 -2.744E-01 -3.751E-01 4.141E+00 3.146E-01 ,
75,2.436E+00 6.969E+01 2.325E+00 6.055E-01 4.135E+00 1.340E+00 ,
76,3.455E+00 4.953E+01 4.426E+00 1.903E+00 2.834E+00 -1.980E+00 ,
77,8.655E-01 -8.923E+00 -5.815E-01 -2.660E+00 4.058E+00 -1.077E-02 ,
78,-4.039E+01 -1.348E+02 -7.552E+00 -1.421E+00 1.341E+01 -3.217E+00 ,
79,1.021E+00 6.864E+01 8.086E-01 2.620E-01 6.394E+00 -3.798E-01 ,
80,-8.406E+00 -7.753E-01 -1.003E+02 -2.341E+00 1.121E+01 2.066E-01 ,
81,-3.451E+01 -1.255E+02 -8.350E+00 2.602E+00 1.462E+01 -3.197E+00 ,
82,-4.307E+01 -1.176E+02 -2.166E+01 -1.071E+01 2.341E+01 3.038E+00 ,
83,-3.995E+01 -1.009E+02 -3.562E+01 -5.309E+00 2.953E+01 2.170E+00 ,
84,-2.440E+00 -6.067E+01 -9.726E-01 2.961E+00 4.549E+00 -6.936E-01 ,
85,4.702E+00 1.097E+01 4.702E+00 -1.197E+00 1.984E+01 -2.656E-16 ,
86,-1.808E+01 -8.886E+00 -1.230E+02 -9.371E-01 1.143E+01 -1.577E+00 ,
87,-4.583E+01 -1.466E+02 -2.322E+01 -2.876E+00 2.479E+01 3.879E-01 ,
88,4.720E+01 1.705E+02 -5.792E+01 -1.761E+01 1.099E+01 3.227E+00 ,
89,-4.040E-01 -1.459E+01 -3.494E-01 -7.574E-01 4.004E+00 2.919E-01 ,
90,-9.399E+01 -2.193E+02 -9.399E+01 -6.509E+00 5.822E+01 0.000E+00 ,
91,-7.828E+01 -1.827E+02 -7.828E+01 -5.793E+00 4.812E+01 2.762E-16 ,
92,-3.885E+01 -1.136E+02 -2.040E+01 -1.499E+00 2.329E+01 -5.157E+00 ,
93,-3.210E+01 -1.203E+02 -5.172E+00 -1.092E+01 2.205E+01 5.585E+00 ,
94,1.308E+00 5.818E+01 4.147E+00 3.581E+00 -1.333E+00 2.018E+00 ,
95,-2.980E+01 -6.953E+01 -2.980E+01 -7.181E+00 2.568E+01 0.000E+00 ,
