 Node ID, Tensor(Element Stresses (2D & 3D)),
64,3.820E+01 2.397E+02 -5.674E+01 -6.354E+00 -7.370E+01 5.576E+00 ,
65,5.923E+01 2.861E+02 -5.450E+01 8.375E+00 -1.203E+02 4.441E+00 ,
66,3.935E+01 2.162E+02 -5.890E+01 3.084E-01 -6.309E+01 1.939E+00 ,
67,6.690E+01 2.842E+02 -5.155E+01 4.173E+00 -1.051E+02 3.058E+00 ,
68,4.074E+01 2.023E+02 -5.279E+01 4.538E+00 -4.478E+01 3.037E+00 ,
69,5.509E+01 2.533E+02 -5.631E+01 -8.076E+00 -7.161E+01 9.405E-01 ,
70,7.277E+01 2.966E+02 -5.654E+01 2.758E+00 -1.212E+02 -8.490E-01 ,
71,4.418E+01 2.202E+02 -6.287E+01 7.056E-01 -6.698E+01 2.754E-01 ,
72,6.966E+01 2.932E+02 -5.647E+01 -7.073E+00 -1.177E+02 -1.767E+00 ,
73,5.041E+01 2.378E+02 -5.900E+01 9.375E+00 -7.082E+01 6.319E-01 ,
74,3.737E+01 1.913E+02 -5.140E+01 -2.544E+00 -4.023E+01 -8.221E-01 ,
75,6.417E+01 2.781E+02 -4.974E+01 5.133E-01 -9.256E+01 -7.463E-01 ,
76,3.576E+01 2.033E+02 -5.060E+01 -2.565E+00 -4.954E+01 -5.239E+00 ,
77,5.421E+01 2.553E+02 -4.424E+01 6.220E-01 -9.581E+01 -4.613E+00 ,
78,2.398E+01 1.877E+02 -5.411E+01 3.460E+00 -4.687E+01 -3.763E+00 ,
79,2.270E+01 2.332E+02 -6.738E+01 -1.265E+01 -7.851E+01 -9.146E+00 ,
80,3.533E+01 3.454E+02 -5.255E+01 -9.537E+00 -1.150E+02 -7.158E-01 ,
81,2.305E+01 2.248E+02 1.542E+00 2.358E+01 -6.100E+01 9.222E-01 ,
82,2.212E+01 2.020E+02 9.369E+00 -1.373E+01 -4.951E+01 -9.958E+00 ,
83,7.479E-03 -1.231E-02 -9.029E-03 -3.288E-02 1.173E-01 -3.727E-02 ,
84,-2.651E-02 -1.360E-02 -3.263E-02 3.409E-02 1.385E-01 1.607E-02 ,
85,-1.540E-01 1.515E-01 1.146E-01 -6.187E-02 -1.475E-01 8.663E-04 ,
86,-9.927E-02 -1.129E-01 -4.215E-02 -3.970E-02 9.758E-02 -6.127E-03 ,
87,-4.852E-02 -1.072E-01 4.025E-02 5.297E-02 8.841E-02 -2.049E-02 ,
88,-1.593E-01 -1.502E-01 1.149E-01 3.737E-02 -9.355E-02 -6.368E-02 ,
89,2.306E+01 1.388E+02 2.701E+01 -9.330E+00 -2.918E+01 -2.244E+00 ,
90,2.849E+01 1.820E+02 -8.864E+00 -7.923E+00 -5.551E+01 -4.531E+00 ,
91,2.135E+01 1.551E+02 -9.675E+00 6.646E+00 -4.036E+01 2.577E+00 ,
92,1.360E+01 1.385E+02 1.555E+01 7.341E+00 -3.174E+01 3.234E+00 ,
93,-3.270E-01 -6.790E-02 2.292E-01 -2.245E-01 -3.962E-01 6.845E-03 ,
94,-2.073E-01 -6.573E-02 7.307E-04 -1.275E-01 7.647E-02 -5.770E-02 ,
95,-2.353E-01 -6.803E-02 7.089E-02 1.176E-01 5.394E-02 2.141E-02 ,
96,-2.092E-01 2.200E-01 1.534E-01 2.011E-01 -3.710E-01 -3.675E-02 ,
97,1.672E+01 1.068E+02 -2.926E+00 -2.019E+00 -2.590E+01 -3.018E+00 ,
98,7.501E+00 9.312E+01 7.136E+00 3.940E+00 -2.115E+01 3.238E+00 ,
99,2.196E+01 1.343E+02 -9.216E+00 -1.010E-01 -2.620E+01 3.671E+00 ,
100,9.283E+00 9.450E+01 9.415E+00 -3.028E+00 -1.824E+01 -6.374E-01 ,
101,-5.316E-01 -1.328E-01 7.179E-02 -1.504E-01 6.384E-02 -1.235E-02 ,
102,-3.496E-01 1.129E+00 1.618E-01 -3.435E-01 -8.327E-01 -5.101E-02 ,
103,-5.153E-01 -7.183E-02 3.100E-02 1.448E-01 6.392E-02 4.590E-02 ,
104,-2.721E-01 1.061E+00 1.225E-01 3.328E-01 -8.440E-01 -4.612E-02 ,
105,3.235E+01 1.644E+02 -1.021E+01 5.286E-01 -5.057E+01 3.804E+00 ,
106,2.368E+01 1.233E+02 -7.594E+00 3.036E+00 -3.398E+01 -1.530E+00 ,
107,6.184E+00 7.656E+01 4.085E+00 2.170E-01 -1.159E+01 -1.806E+00 ,
108,3.601E+00 7.475E+01 4.777E+00 3.049E-01 -1.395E+01 1.002E+00 ,
109,-8.901E-01 -1.214E-01 -4.102E-02 -1.473E-01 6.610E-02 -6.516E-02 ,
110,-2.393E-01 2.684E+00 1.063E-01 -5.472E-01 -1.202E+00 -5.081E-03 ,
111,-8.403E-01 -1.103E-01 3.793E-02 1.611E-01 1.219E-01 5.954E-02 ,
112,-3.276E-01 2.215E+00 8.979E-02 5.451E-01 -1.225E+00 -8.790E-02 ,
113,3.118E+01 1.397E+02 -7.661E+00 2.206E+00 -3.929E+01 1.097E+00 ,
114,2.400E+00 5.663E+01 3.050E+00 -6.858E-01 -1.030E+01 2.513E-01 ,
115,1.841E+00 5.621E+01 2.122E+00 1.336E+00 -8.932E+00 -9.699E-01 ,
116,3.172E+01 1.455E+02 -7.725E+00 -3.582E+00 -3.872E+01 -4.593E+00 ,
117,-1.189E+00 -1.912E-02 1.747E-02 -2.104E-01 4.934E-02 -4.541E-02 ,
118,-2.064E-01 4.103E+00 2.795E-01 -7.466E-01 -1.602E+00 6.517E-02 ,
119,-1.186E+00 -8.235E-02 6.425E-02 1.838E-01 1.159E-01 3.893E-02 ,
120,-2.727E-01 4.344E+00 1.002E-01 7.071E-01 -1.636E+00 -9.499E-02 ,
121,3.367E+01 1.408E+02 -7.089E+00 3.358E-01 -3.787E+01 1.932E+00 ,
122,1.615E+00 4.536E+01 2.229E+00 1.870E+00 -6.855E+00 3.329E-01 ,
123,2.536E+01 1.167E+02 -1.539E+00 1.064E-01 -2.761E+01 -2.562E+00 ,
124,1.782E+00 4.804E+01 1.434E+00 -2.516E+00 -6.916E+00 1.186E+00 ,
125,-1.511E+00 -8.583E-02 -5.557E-03 -1.697E-01 1.204E-01 -3.304E-02 ,
126,-2.371E-01 6.487E+00 2.220E-01 -9.955E-01 -2.039E+00 3.299E-02 ,
127,-1.537E+00 -4.563E-02 4.519E-02 1.876E-01 7.788E-02 7.559E-02 ,
128,-2.525E-01 6.555E+00 7.307E-02 8.761E-01 -1.920E+00 -5.850E-02 ,
129,3.758E+01 1.460E+02 -9.308E+00 1.761E-01 -3.861E+01 -3.409E-01 ,
130,1.062E+00 3.797E+01 1.463E+00 1.848E+00 -5.242E+00 4.752E-01 ,
131,3.410E+01 1.360E+02 -6.839E+00 3.960E+00 -3.626E+01 2.917E+00 ,
132,3.821E-01 3.737E+01 9.276E-01 -2.112E+00 -5.556E+00 3.272E-01 ,
133,-1.701E+00 -8.634E-02 5.484E-02 -1.481E-01 1.039E-01 -5.114E-02 ,
134,-3.062E-01 8.801E+00 1.310E-01 -1.194E+00 -2.198E+00 -3.986E-02 ,
135,-1.682E+00 -8.969E-02 5.362E-02 1.436E-01 7.177E-02 4.321E-02 ,
136,-2.137E-01 9.128E+00 1.293E-01 1.025E+00 -2.220E+00 -7.876E-02 ,
137,2.670E+01 1.123E+02 -3.173E+00 2.030E+00 -2.557E+01 -7.047E-01 ,
138,4.898E-01 3.132E+01 5.122E-01 2.026E+00 -4.696E+00 -2.211E-01 ,
139,2.561E+01 1.075E+02 -5.009E+00 -5.282E-01 -2.442E+01 1.639E+00 ,
140,2.807E-01 2.973E+01 4.243E-01 -1.525E+00 -4.792E+00 -2.118E-02 ,
141,-1.842E+00 -7.804E-02 4.473E-02 -5.252E-02 9.345E-02 -3.150E-04 ,
142,-1.920E+00 -4.431E-02 1.344E-02 -2.673E-02 7.443E-02 -1.751E-02 ,
143,-1.911E+00 -4.459E-02 2.209E-02 3.700E-03 7.398E-02 -9.844E-03 ,
144,-1.860E+00 -1.361E-01 2.717E-02 9.590E-02 8.296E-02 -3.074E-03 ,
145,-6.640E-02 1.239E+01 1.473E-01 -1.249E+00 -2.505E+00 -1.102E-02 ,
146,-1.791E-01 1.201E+01 2.420E-01 1.145E+00 -2.593E+00 -9.474E-02 ,
147,6.878E-02 2.420E+01 5.670E-01 -1.605E+00 -4.252E+00 5.170E-02 ,
148,8.066E-02 2.524E+01 4.020E-01 1.700E+00 -4.156E+00 -2.673E-01 ,
149,3.839E+01 1.438E+02 -1.250E+00 -2.530E+00 -4.155E+01 7.897E-01 ,
150,4.543E+01 1.692E+02 -7.654E+00 1.394E+00 -5.455E+01 -1.614E-01 ,
151,-7.750E-02 1.565E+01 2.498E-01 -1.598E+00 -2.503E+00 2.501E-02 ,
152,-7.064E-02 1.599E+01 4.023E-01 1.316E+00 -3.055E+00 -2.045E-02 ,
153,4.302E+01 1.613E+02 -1.125E+01 1.176E+00 -4.774E+01 -8.373E-01 ,
154,-6.375E-02 2.036E+01 4.574E-01 -1.653E+00 -2.995E+00 -1.356E-02 ,
155,-1.781E-01 1.988E+01 3.181E-01 1.556E+00 -3.587E+00 -3.788E-02 ,
156,3.544E+01 1.362E+02 -3.439E+00 -2.044E+00 -3.768E+01 -3.631E-01 ,
157,-3.070E-01 8.543E-03 1.051E-01 -2.040E-01 -1.664E-01 -9.988E-03 ,
158,-6.227E-01 -2.912E-01 6.902E-02 -3.253E-01 -4.701E-02 4.503E-02 ,
159,-1.023E+00 -1.554E-01 3.410E-02 -3.708E-01 -1.157E-01 -7.579E-02 ,
160,-1.182E+00 -1.722E-01 7.935E-02 -3.393E-01 -9.020E-02 -6.899E-02 ,
161,-1.526E+00 -6.538E-02 5.371E-02 -3.814E-01 -5.632E-02 -2.057E-02 ,
162,-1.697E+00 7.249E-02 1.135E-01 -2.745E-01 -4.730E-02 -3.714E-02 ,
163,-1.902E+00 -8.797E-03 9.537E-02 -2.043E-01 -3.741E-02 -2.334E-02 ,
164,-1.951E+00 1.196E-01 1.028E-01 -8.040E-02 -6.538E-02 -2.048E-02 ,
165,-1.958E+00 5.672E-02 9.775E-02 8.701E-03 -7.988E-02 1.298E-02 ,
166,-1.951E+00 -1.020E-01 8.389E-02 1.338E-01 -5.453E-02 -1.409E-03 ,
167,-1.894E+00 3.439E-02 3.566E-02 1.790E-01 -8.442E-02 2.187E-02 ,
168,-1.647E+00 1.068E-01 1.084E-01 2.928E-01 -1.381E-01 4.102E-02 ,
