 Node ID, Tensor(Element Stresses (2D & 3D)),
2377,-1.941E+00 5.470E-02 -1.139E-01 -3.385E-03 6.647E-02 1.696E-03 ,
2378,-1.950E+00 1.233E-01 5.550E-01 -5.381E-02 -3.831E-01 -9.079E-02 ,
2379,-1.968E+00 1.691E-01 5.981E-01 -2.425E-02 -3.395E-01 8.075E-03 ,
2380,-1.817E+00 1.718E-01 1.701E+00 -3.649E-02 -6.277E-01 -3.088E-02 ,
2381,-1.836E+00 1.794E-01 1.633E+00 1.036E-02 -6.094E-01 5.200E-02 ,
2382,-1.679E+00 2.748E-02 -3.340E-02 -6.404E-02 7.402E-02 -7.648E-02 ,
2383,-1.864E+00 1.350E-01 1.027E-01 -4.313E-02 -1.473E-01 -6.061E-02 ,
2384,-1.881E+00 3.467E-02 -9.496E-02 -2.414E-02 7.178E-02 -6.381E-03 ,
2385,-1.940E+00 1.431E-01 1.311E-01 -1.189E-02 -1.321E-01 -2.360E-02 ,
2386,-4.810E-01 2.404E-02 1.128E+01 -1.235E-02 -1.451E+00 1.084E+00 ,
2387,-6.829E-01 -6.617E-02 9.346E+00 -2.608E-02 -1.354E+00 7.893E-01 ,
2388,-9.643E-01 3.374E-02 6.980E+00 9.534E-03 -1.251E+00 6.118E-01 ,
2389,-1.291E+00 1.096E-01 4.892E+00 1.113E-02 -1.037E+00 5.036E-01 ,
2390,-4.598E-01 1.208E-01 9.387E+00 1.292E-02 -1.387E+00 9.163E-01 ,
2391,-2.263E-01 2.160E-01 1.121E+01 1.001E-02 -1.445E+00 1.093E+00 ,
2392,-9.076E-01 1.667E-02 6.750E+00 5.119E-03 -1.182E+00 7.743E-01 ,
2393,-1.212E+00 3.374E-02 4.739E+00 1.126E-02 -1.104E+00 5.695E-01 ,
2394,-9.064E-01 -9.436E-02 9.107E+00 1.144E-02 -1.235E+00 4.340E-01 ,
2395,-7.716E-01 -1.052E-01 9.236E+00 -4.887E-03 -1.301E+00 5.627E-01 ,
2396,-5.634E-01 -1.406E-01 1.171E+01 -1.837E-02 -1.292E+00 5.459E-01 ,
2397,-5.725E-01 -1.796E-01 1.178E+01 -1.288E-02 -1.306E+00 8.015E-01 ,
2398,-1.411E+00 -3.017E-02 4.892E+00 1.377E-02 -9.893E-01 1.600E-01 ,
2399,-1.111E+00 4.567E-02 6.951E+00 3.064E-02 -1.103E+00 2.329E-01 ,
2400,-1.291E+00 9.067E-02 4.953E+00 1.023E-02 -9.707E-01 2.703E-01 ,
2401,-1.090E+00 6.255E-02 6.853E+00 2.297E-02 -1.142E+00 4.793E-01 ,
2402,-7.083E-02 4.188E-02 -3.339E+01 -8.504E-03 -2.149E+00 3.265E-01 ,
2403,-2.822E-02 7.763E-02 -2.955E+01 2.680E-01 -3.857E+00 3.300E-01 ,
2404,7.548E-03 -4.606E-02 -2.663E+01 1.887E-01 -5.041E+00 1.911E-01 ,
2405,-3.918E-02 -3.115E-01 -2.216E+01 2.679E-01 -6.382E+00 2.340E-01 ,
2406,2.435E-03 -4.535E-01 -1.807E+01 2.322E-01 -7.616E+00 1.407E-01 ,
2407,1.192E-02 -4.646E-01 -1.406E+01 2.172E-01 -8.536E+00 3.913E-02 ,
2408,4.978E-02 -6.062E-01 -9.972E+00 2.111E-01 -9.332E+00 -1.674E-02 ,
2409,-1.226E-01 -7.290E-01 -5.466E+00 9.694E-02 -1.003E+01 3.153E-02 ,
2410,-2.505E-01 -8.787E-01 -2.280E+00 2.883E-01 -1.048E+01 6.985E-02 ,
2411,1.701E-01 -7.224E-01 7.205E-01 2.446E-01 -1.066E+01 7.616E-02 ,
2412,-1.681E-02 -7.996E-01 4.901E+00 2.043E-01 -1.054E+01 -1.188E-01 ,
2413,5.741E-02 -7.028E-01 8.301E+00 1.972E-01 -1.020E+01 -1.491E-01 ,
2414,9.328E-02 -5.494E-01 1.182E+01 1.945E-01 -9.812E+00 -7.235E-02 ,
2415,-4.801E-02 -6.097E-01 1.598E+01 2.632E-01 -9.239E+00 -6.118E-02 ,
2416,-1.853E-01 -5.825E-01 1.940E+01 2.805E-01 -8.167E+00 -2.078E-01 ,
2417,-1.239E-01 -3.596E-01 2.311E+01 1.714E-01 -7.153E+00 -2.870E-01 ,
2418,-4.533E-02 -6.351E-01 2.622E+01 2.560E-01 -5.727E+00 -3.125E-01 ,
2419,-1.371E-01 -3.114E-01 3.079E+01 2.310E-01 -3.742E+00 -4.185E-01 ,
2420,1.514E-01 -1.135E-01 3.350E+01 1.637E-01 -2.145E+00 -4.625E-01 ,
2421,4.108E-01 8.981E-02 3.533E+01 -3.293E-02 -1.536E+00 -4.283E-01 ,
2422,-1.424E-03 1.531E-01 3.571E+01 5.034E-02 -1.342E+00 -6.232E-01 ,
2423,3.930E-01 2.928E-01 3.562E+01 2.296E-02 -1.127E+00 -1.090E+00 ,
2424,2.360E-01 1.556E-01 3.643E+01 1.578E-02 -1.207E+00 -1.196E+00 ,
2425,6.173E-01 1.768E-01 3.706E+01 -1.517E-01 -1.149E+00 -9.762E-01 ,
2426,-2.087E-03 -5.120E-01 1.045E+01 2.182E-01 -9.966E+00 -8.166E-02 ,
2427,-1.126E-01 -4.513E-01 1.258E+01 2.672E-01 -9.766E+00 -1.604E-01 ,
2428,-8.638E-02 -6.561E-01 1.515E+01 2.906E-01 -9.188E+00 -2.313E-02 ,
2429,-2.307E-01 -3.109E-01 1.827E+01 3.367E-01 -8.711E+00 4.976E-02 ,
2430,-6.307E-02 -4.594E-01 2.144E+01 2.294E-01 -8.159E+00 -5.421E-02 ,
2431,6.211E-02 -6.014E-01 2.262E+01 5.954E-01 -7.916E+00 -1.986E-01 ,
2432,2.197E-01 -3.612E-01 2.675E+01 5.216E-01 -7.085E+00 -1.689E-01 ,
2433,5.970E-02 -4.862E-01 3.013E+01 6.113E-01 -6.288E+00 -4.718E-01 ,
2434,-1.387E-02 -6.754E-01 3.230E+01 6.612E-01 -5.505E+00 -3.461E-01 ,
2435,-2.898E-01 -7.007E-01 3.492E+01 4.072E-01 -4.769E+00 -2.808E-01 ,
2436,2.442E-02 -6.408E-01 3.695E+01 4.870E-01 -4.248E+00 -4.726E-01 ,
2437,1.403E-01 -7.100E-01 4.091E+01 4.237E-01 -3.520E+00 -2.608E-01 ,
2438,4.807E-02 -7.897E-01 4.398E+01 6.539E-01 -2.643E+00 7.430E-02 ,
2439,3.149E-01 -1.373E-01 4.970E+01 3.984E-01 -2.495E+00 4.456E-01 ,
2440,7.609E-01 2.788E-01 5.219E+01 9.296E-01 -1.831E+00 1.261E+00 ,
2441,2.872E+00 4.507E+00 5.941E+01 7.382E-01 -3.079E+00 3.963E+00 ,
2442,1.313E+01 1.456E+01 7.193E+01 7.332E-01 -6.245E+00 1.226E+01 ,
2443,-1.903E-01 -8.311E-01 2.351E+01 5.357E-01 -7.304E+00 -2.655E-01 ,
2444,-3.360E-01 -3.883E-01 1.917E+01 5.150E-01 -7.809E+00 -2.672E-01 ,
2445,1.921E-02 -4.310E-01 1.411E+01 4.907E-01 -8.546E+00 -2.297E-01 ,
2446,1.657E-01 -3.465E-01 8.362E+00 6.945E-01 -9.143E+00 1.080E-01 ,
2447,-7.635E-02 -3.039E-01 3.243E+00 4.876E-01 -9.116E+00 1.559E-01 ,
2448,-1.294E-01 -2.365E-01 -1.706E+00 4.960E-01 -9.188E+00 1.148E-01 ,
2449,-1.304E-01 -4.232E-02 -6.310E+00 6.888E-01 -9.110E+00 1.735E-01 ,
2450,7.019E-03 -5.516E-02 -1.287E+01 4.910E-01 -8.590E+00 2.021E-01 ,
2451,-1.726E-01 2.360E-01 -1.680E+01 4.867E-01 -8.274E+00 2.477E-01 ,
2452,-1.637E-01 6.274E-01 -2.070E+01 2.669E-01 -7.747E+00 2.324E-01 ,
2453,-1.575E-01 7.773E-01 -2.725E+01 5.063E-01 -6.616E+00 2.212E-01 ,
2454,-2.079E-01 5.332E-01 -3.165E+01 4.789E-01 -5.904E+00 1.282E-01 ,
2455,-4.489E-03 3.388E-01 -3.809E+01 3.403E-01 -4.237E+00 2.736E-01 ,
2456,1.910E-01 4.932E-01 -4.278E+01 6.120E-01 -3.369E+00 3.263E-01 ,
2457,-7.658E-02 2.474E-01 -4.824E+01 1.402E-01 -1.634E+00 3.879E-01 ,
2458,-8.105E-03 -5.414E-01 -1.220E+01 1.844E-01 -8.981E+00 1.030E-01 ,
2459,-7.417E-02 -3.422E-01 -1.009E+01 1.665E-01 -9.458E+00 7.952E-02 ,
2460,3.523E-02 -4.324E-01 -9.123E+00 2.733E-01 -9.651E+00 7.853E-02 ,
2461,2.594E-02 -2.992E-01 -6.771E+00 3.954E-01 -9.875E+00 1.405E-02 ,
2462,-1.531E-01 -1.517E-01 -4.217E+00 3.506E-01 -1.001E+01 6.036E-02 ,
2463,-1.027E-01 -2.847E-01 -3.341E+00 3.433E-01 -9.991E+00 -2.741E-02 ,
2464,-6.879E-02 -3.501E-01 -2.338E-02 5.041E-01 -9.911E+00 -9.436E-02 ,
2465,-1.019E-01 -3.213E-01 3.397E+00 4.582E-01 -9.778E+00 -2.312E-02 ,
2466,1.932E-01 -1.415E-01 5.736E+00 6.618E-01 -9.397E+00 4.639E-02 ,
2467,1.731E-02 4.962E-04 -9.096E+00 4.245E-01 -9.654E+00 -7.191E-02 ,
2468,1.207E-02 -3.150E-02 -1.352E+01 4.864E-01 -9.343E+00 7.379E-02 ,
2469,-6.142E-02 1.140E-01 -1.784E+01 2.875E-01 -8.501E+00 2.089E-01 ,
2470,4.504E-02 3.010E-01 -2.270E+01 3.056E-01 -7.493E+00 3.486E-01 ,
2471,1.575E-01 1.253E-01 -2.773E+01 2.229E-01 -6.205E+00 2.323E-01 ,
2472,3.149E-01 2.142E-01 -3.189E+01 4.433E-01 -5.493E+00 2.047E-01 ,
2473,1.072E-01 3.249E-01 -3.576E+01 3.893E-01 -4.109E+00 1.899E-01 ,
2474,1.109E-01 -1.057E-01 -4.200E+01 1.744E-02 -1.852E+00 3.538E-01 ,
2475,2.904E-03 -1.086E-01 -2.498E+01 2.119E-01 -5.914E+00 1.325E-01 ,
2476,4.779E-02 -7.530E-03 -2.321E+01 2.715E-01 -6.710E+00 2.006E-01 ,
2477,1.127E-01 -1.377E-01 -2.254E+01 3.801E-01 -7.312E+00 1.862E-01 ,
2478,1.619E-03 -1.919E-01 -1.986E+01 2.938E-01 -8.073E+00 1.824E-01 ,
2479,1.509E-03 -4.369E-02 -2.717E+01 1.572E-01 -5.651E+00 1.458E-01 ,
2480,-1.315E-01 3.933E-01 -3.130E+01 3.290E-01 -4.187E+00 2.055E-01 ,
2481,-1.226E-01 -9.061E-02 -3.651E+01 1.080E-01 -2.038E+00 3.533E-01 ,
2482,-1.861E-01 -1.517E-01 -3.284E+01 1.223E-01 -3.265E+00 2.031E-01 ,
2483,-9.132E-02 1.296E-01 -3.722E+01 1.616E-01 -1.445E+00 4.689E-01 ,
2484,-7.821E-02 -5.461E-02 -2.890E+01 2.216E-01 -4.601E+00 2.274E-01 ,
2485,1.156E-01 2.464E-01 -3.042E+01 1.802E-01 -5.005E+00 1.108E-01 ,
2486,1.998E-01 3.511E-02 -2.958E+01 1.854E-01 -5.712E+00 7.864E-02 ,
2487,-2.233E-02 2.079E-01 -3.498E+01 3.415E-01 -3.625E+00 3.234E-01 ,
2488,-1.875E-01 3.356E-02 -3.934E+01 1.308E-02 -1.685E+00 4.329E-01 ,
2489,-6.787E-02 -1.608E-02 -3.735E+01 1.344E-01 -3.032E+00 2.741E-01 ,
2490,-1.875E-01 2.279E-01 -4.134E+01 8.726E-02 -1.383E+00 4.327E-01 ,
2491,5.262E-03 2.849E-01 -3.323E+01 3.246E-01 -4.660E+00 3.063E-01 ,
2492,8.673E-02 -3.652E-02 -2.626E+01 3.481E-01 -6.236E+00 1.424E-01 ,
2493,-8.433E-03 2.003E-01 -2.394E+01 4.370E-01 -6.959E+00 1.852E-01 ,
2494,-1.748E-01 -3.243E-01 -1.477E+01 1.997E-01 -8.794E+00 -1.427E-02 ,
2495,1.304E-01 -7.828E-02 -1.965E+01 2.290E-01 -7.748E+00 1.555E-01 ,
2496,-1.136E-02 -3.318E-01 -1.639E+01 1.700E-01 -8.348E+00 1.237E-01 ,
2497,3.536E-02 -1.909E-01 -2.089E+01 2.138E-01 -7.194E+00 1.280E-01 ,
2498,-9.182E-02 -7.206E-02 -1.164E+01 3.309E-01 -9.477E+00 1.314E-03 ,
2499,-1.395E-01 5.688E-02 -1.293E+01 3.221E-01 -9.236E+00 5.786E-02 ,
2500,-1.218E-01 -1.222E-01 -1.604E+01 3.842E-01 -9.021E+00 2.248E-01 ,
2501,-9.311E-02 -3.386E-01 -1.784E+01 3.529E-01 -8.488E+00 1.705E-01 ,
2502,-2.903E-02 4.994E-02 -2.588E+01 2.022E-01 -6.918E+00 4.066E-01 ,
2503,-7.548E-02 -2.427E-02 -2.379E+01 2.634E-01 -7.485E+00 2.726E-01 ,
2504,6.406E-02 1.942E-01 -2.166E+01 3.032E-01 -7.840E+00 1.859E-01 ,
2505,-1.623E-01 3.346E-01 -1.940E+01 3.265E-01 -8.264E+00 2.984E-01 ,
2506,4.813E-02 2.373E-01 -2.868E+01 3.042E-01 -6.384E+00 2.506E-01 ,
2507,1.756E-01 4.035E-01 -3.396E+01 3.404E-01 -5.239E+00 2.426E-01 ,
2508,-2.484E-01 2.853E-01 -3.828E+01 4.459E-01 -3.855E+00 3.375E-01 ,
2509,-1.704E-01 6.430E-02 -4.353E+01 -1.399E-02 -2.190E+00 3.337E-01 ,
2510,3.721E-02 2.452E-01 -3.491E+01 4.405E-01 -4.834E+00 3.172E-01 ,
2511,-2.577E-01 1.273E-01 -3.910E+01 2.940E-01 -3.325E+00 3.414E-01 ,
2512,-2.774E-01 1.341E-01 -4.482E+01 1.368E-01 -1.539E+00 4.802E-01 ,
2513,1.819E-01 3.162E-02 -3.077E+01 2.551E-01 -5.879E+00 2.702E-01 ,
2514,2.787E-02 5.362E-01 -3.610E+01 5.294E-01 -4.497E+00 3.131E-01 ,
2515,-1.225E-01 4.892E-01 -3.412E+01 3.028E-01 -5.346E+00 3.018E-01 ,
2516,2.493E-02 2.883E-01 -4.106E+01 1.925E-01 -3.530E+00 3.624E-01 ,
2517,7.985E-03 8.170E-02 -4.707E+01 7.244E-02 -1.332E+00 5.861E-01 ,
2518,3.034E-02 3.378E-02 -4.436E+01 2.673E-01 -2.739E+00 4.806E-01 ,
2519,-1.668E-01 3.161E-01 -4.897E+01 1.463E-01 -1.139E+00 4.558E-01 ,
2520,-3.596E-02 4.669E-01 -3.941E+01 5.341E-01 -3.955E+00 2.098E-01 ,
2521,-1.059E-02 6.401E-02 -2.672E+01 3.145E-01 -6.800E+00 2.389E-01 ,
2522,7.340E-02 6.622E-01 -3.176E+01 3.567E-01 -5.905E+00 3.015E-01 ,
2523,6.138E-03 5.463E-01 -2.460E+01 3.802E-01 -7.229E+00 2.215E-01 ,
2524,-1.304E-01 1.534E-01 -2.934E+01 4.045E-01 -6.111E+00 2.562E-01 ,
2525,5.932E-02 1.056E-01 -4.540E+00 4.193E-01 -9.702E+00 -3.880E-02 ,
2526,2.147E-01 4.795E-02 -1.015E+01 4.123E-01 -9.332E+00 4.827E-02 ,
2527,1.012E-01 1.820E-01 -1.437E+01 3.505E-01 -9.109E+00 3.009E-01 ,
2528,6.537E-02 1.348E-01 -1.880E+01 2.509E-01 -8.501E+00 2.698E-01 ,
2529,1.167E-01 1.268E-01 -1.108E+01 4.549E-01 -9.429E+00 -3.328E-03 ,
2530,6.169E-02 -1.113E-01 -7.235E+00 4.448E-01 -9.618E+00 -4.275E-02 ,
2531,-2.859E-02 8.066E-02 -1.591E+01 3.792E-01 -8.773E+00 2.854E-01 ,
2532,-1.087E-01 2.333E-01 -2.106E+01 2.599E-01 -8.055E+00 3.571E-01 ,
2533,-1.505E-01 3.435E-02 -4.032E+00 5.371E-01 -9.557E+00 2.090E-01 ,
2534,2.205E-01 -8.900E-02 -7.366E+00 3.410E-01 -9.413E+00 -2.426E-02 ,
2535,-7.392E-02 -1.005E-01 1.108E+00 4.610E-01 -9.512E+00 1.415E-01 ,
2536,-4.483E-02 8.383E-02 -1.488E+00 4.312E-01 -9.645E+00 -1.630E-02 ,
2537,-3.163E-02 1.794E-01 -1.353E+01 3.996E-01 -8.921E+00 8.364E-02 ,
2538,-2.149E-02 -7.272E-02 -8.842E+00 5.257E-01 -9.057E+00 7.254E-02 ,
2539,3.638E-02 1.960E-01 -1.654E+01 2.865E-01 -8.634E+00 2.471E-01 ,
2540,1.179E-01 1.259E-01 -1.180E+01 3.795E-01 -9.229E+00 5.515E-02 ,
2541,4.037E-02 -3.547E-01 1.355E+01 2.058E-01 -9.401E+00 -1.988E-01 ,
2542,-4.015E-02 -4.552E-01 8.303E+00 4.625E-01 -1.016E+01 -4.834E-02 ,
2543,1.869E-02 -3.449E-01 4.259E+00 3.186E-01 -1.008E+01 3.904E-03 ,
2544,-8.083E-02 -3.255E-01 1.247E-01 3.691E-01 -1.005E+01 2.077E-02 ,
2545,1.166E-01 -3.272E-01 5.866E+00 5.383E-01 -1.040E+01 2.750E-02 ,
2546,-2.722E-02 -4.670E-01 3.821E+00 3.627E-01 -1.048E+01 7.434E-02 ,
2547,1.035E-02 -3.900E-01 1.721E+00 3.044E-01 -1.033E+01 4.041E-02 ,
2548,-2.200E-02 -8.089E-01 -7.420E-01 3.454E-01 -1.033E+01 -4.659E-03 ,
2549,1.346E-01 -1.181E-01 7.669E+00 4.341E-01 -1.032E+01 -6.013E-02 ,
2550,-6.714E-02 -6.309E-01 1.179E+01 2.734E-01 -9.611E+00 -9.236E-02 ,
2551,1.932E-01 -2.923E-01 9.895E+00 3.904E-01 -9.929E+00 -1.236E-01 ,
2552,2.587E-02 -7.502E-01 2.238E+00 2.927E-01 -1.059E+01 -7.370E-02 ,
2553,1.007E-01 -5.701E-01 5.061E+00 4.587E-01 -1.058E+01 -8.318E-02 ,
2554,-3.666E-02 -6.619E-01 7.245E+00 3.311E-01 -1.048E+01 -1.144E-01 ,
2555,1.892E-02 -5.518E-01 8.789E+00 2.129E-01 -1.002E+01 -2.109E-01 ,
2556,3.030E-01 -3.982E-01 -5.201E+00 2.392E-01 -1.013E+01 4.848E-02 ,
2557,4.136E-02 -3.055E-01 -3.340E-01 2.232E-01 -1.019E+01 3.919E-02 ,
2558,-1.014E-01 -3.138E-01 -2.571E+00 2.443E-01 -1.019E+01 1.050E-01 ,
2559,-8.857E-02 -5.279E-01 2.051E+00 2.983E-01 -1.028E+01 1.155E-01 ,
2560,2.231E-02 -4.253E-01 -8.829E+00 2.662E-01 -9.754E+00 8.035E-02 ,
2561,6.327E-02 -4.347E-01 -6.786E+00 3.718E-01 -9.997E+00 5.657E-02 ,
2562,-1.125E-01 -5.534E-01 -3.681E+00 2.172E-01 -1.019E+01 -4.923E-02 ,
2563,2.062E-01 -5.791E-01 -3.500E+00 1.540E-01 -1.008E+01 -2.723E-02 ,
2564,2.029E-02 -2.964E-01 1.898E+01 2.789E-01 -8.481E+00 1.007E-02 ,
2565,-9.971E-02 -1.226E-01 1.420E+01 4.001E-01 -8.923E+00 -2.362E-02 ,
2566,-3.243E-01 -3.731E-01 9.941E+00 4.398E-01 -9.453E+00 -1.103E-01 ,
2567,-2.996E-01 -7.211E-01 4.520E+00 5.214E-01 -9.907E+00 -2.988E-02 ,
2568,-1.257E-01 -6.372E-01 1.115E+01 4.429E-01 -9.574E+00 -1.077E-01 ,
2569,-1.798E-01 -2.750E-01 1.521E+01 2.703E-01 -9.010E+00 -6.097E-02 ,
2570,-2.647E-01 -2.594E-01 7.677E+00 2.804E-01 -9.745E+00 -4.739E-02 ,
2571,6.618E-02 -3.291E-01 1.695E+00 3.353E-01 -9.998E+00 3.442E-03 ,
2572,-2.294E-01 -4.154E-01 1.630E+01 5.751E-01 -8.432E+00 -1.316E-02 ,
2573,-6.182E-02 -2.511E-01 1.222E+01 5.985E-01 -9.036E+00 -1.229E-01 ,
2574,-4.032E-02 -3.264E-01 2.145E+01 4.226E-01 -7.905E+00 -4.269E-02 ,
2575,1.086E-01 -4.216E-01 1.693E+01 4.548E-01 -8.857E+00 4.218E-02 ,
2576,2.996E-01 -2.384E-01 1.015E+01 7.427E-01 -8.871E+00 -1.211E-01 ,
2577,-5.303E-02 -1.603E-01 8.075E+00 6.850E-01 -9.754E+00 -1.276E-01 ,
2578,2.566E-03 2.875E-01 -8.916E+00 6.819E-01 -8.756E+00 1.665E-01 ,
2579,-7.043E-04 -3.120E-02 -6.251E+00 7.298E-01 -8.427E+00 1.134E-01 ,
2580,1.111E-01 -1.307E-01 -3.539E+00 9.091E-01 -8.089E+00 9.285E-02 ,
2581,-1.903E-02 2.577E-01 -1.460E-01 8.210E-01 -7.283E+00 9.531E-02 ,
2582,-1.235E-02 2.921E-01 2.183E+00 7.738E-01 -6.355E+00 3.229E-02 ,
2583,9.730E-02 5.079E-01 5.977E+00 1.134E+00 -4.982E+00 1.502E-01 ,
2584,1.276E-01 5.534E-01 7.111E+00 1.162E+00 -3.028E+00 1.726E-01 ,
2585,4.935E-01 2.942E+00 1.276E+01 8.610E-01 -1.510E+00 1.141E+00 ,
2586,4.536E+00 6.627E+00 1.906E+01 1.055E+00 1.058E+00 3.967E+00 ,
2587,2.377E-02 4.923E-02 -3.369E+00 9.586E-01 -6.475E+00 2.345E-01 ,
2588,-7.368E-02 -5.838E-01 -9.539E+00 8.817E-01 -6.332E+00 2.703E-01 ,
2589,-1.315E-02 -4.113E-01 -1.587E+01 1.087E+00 -6.081E+00 2.573E-02 ,
2590,-2.685E-01 -3.233E-01 -2.186E+01 1.034E+00 -5.693E+00 -1.467E-01 ,
2591,-1.988E-02 -2.381E-02 -2.753E+01 7.387E-01 -5.456E+00 -8.998E-02 ,
2592,-5.054E-02 2.811E-01 -3.410E+01 6.157E-01 -4.632E+00 -1.143E-01 ,
2593,1.391E-02 4.819E-01 -4.018E+01 6.248E-01 -3.541E+00 2.003E-01 ,
2594,2.164E-01 8.858E-01 -4.659E+01 3.560E-01 -2.364E+00 1.729E-01 ,
2595,-7.111E-02 5.900E-01 -5.395E+01 2.185E-01 -7.200E-01 -2.706E-01 ,
2596,-8.350E-02 5.720E-01 -3.051E+01 5.035E-01 -5.963E+00 5.892E-02 ,
2597,-9.928E-02 6.184E-01 -2.811E+01 4.927E-01 -6.203E+00 5.536E-02 ,
2598,-1.424E-01 5.495E-01 -2.572E+01 6.312E-01 -6.325E+00 1.433E-01 ,
2599,-9.518E-02 2.574E-01 -2.352E+01 7.259E-01 -6.175E+00 7.765E-02 ,
2600,1.078E-01 7.146E-01 -3.372E+01 3.912E-01 -5.109E+00 2.413E-02 ,
2601,6.976E-02 8.599E-01 -3.965E+01 4.838E-01 -3.781E+00 1.249E-01 ,
2602,2.301E-02 5.255E-01 -4.503E+01 5.623E-01 -2.779E+00 4.277E-01 ,
2603,-1.528E-01 2.294E-01 -5.093E+01 1.466E-01 -1.452E+00 2.508E-01 ,
2604,-2.309E-01 2.839E-01 -4.595E+01 5.515E-01 -2.272E+00 4.569E-01 ,
2605,-2.987E-01 4.302E-01 -5.149E+01 1.468E-01 -1.240E+00 3.782E-01 ,
2606,6.219E-03 6.996E-01 -4.008E+01 4.693E-01 -3.677E+00 2.353E-01 ,
2607,-3.236E-01 4.349E-01 -3.560E+01 5.058E-01 -5.113E+00 5.082E-02 ,
2608,9.799E-02 1.170E+00 -4.326E+01 5.301E-01 -2.976E+00 4.326E-01 ,
2609,2.146E-02 9.334E-01 -4.320E+01 3.070E-01 -2.905E+00 4.245E-01 ,
2610,-7.777E-02 7.570E-01 -5.020E+01 2.095E-01 -1.434E+00 1.927E-01 ,
2611,1.059E-01 1.049E+00 -4.781E+01 3.960E-01 -1.874E+00 5.112E-01 ,
2612,-2.408E-01 9.195E-01 -5.338E+01 5.520E-02 -9.467E-01 1.640E-01 ,
2613,1.001E-01 5.909E-01 -3.205E+01 5.098E-01 -5.605E+00 3.076E-01 ,
2614,1.982E-01 1.011E+00 -3.784E+01 4.650E-01 -4.151E+00 2.890E-01 ,
2615,3.848E-02 3.725E-01 -2.967E+01 7.182E-01 -5.413E+00 1.245E-01 ,
2616,4.671E-02 7.953E-01 -3.611E+01 6.361E-01 -4.193E+00 1.760E-01 ,
2617,5.176E-02 1.941E-01 -1.175E+01 6.243E-01 -8.152E+00 1.752E-01 ,
2618,1.204E-01 3.959E-01 -1.771E+01 5.906E-01 -7.675E+00 2.314E-01 ,
2619,-3.582E-02 6.061E-01 -2.295E+01 6.803E-01 -6.943E+00 1.921E-01 ,
2620,-1.684E-01 5.394E-01 -1.960E+01 4.570E-01 -7.752E+00 2.801E-01 ,
2621,1.479E-01 3.755E-01 -1.488E+01 5.084E-01 -8.197E+00 1.911E-01 ,
2622,-1.604E-01 5.041E-01 -2.495E+01 5.009E-01 -7.002E+00 3.107E-01 ,
2623,1.084E-01 1.478E-01 -1.231E+01 8.379E-01 -7.053E+00 4.289E-01 ,
2624,-4.120E-02 2.037E-01 -1.436E+01 7.402E-01 -7.346E+00 4.209E-01 ,
2625,-2.925E-02 -1.329E-01 -6.146E+00 8.350E-01 -7.196E+00 2.816E-01 ,
2626,8.299E-02 2.624E-01 -8.842E+00 7.259E-01 -7.790E+00 3.510E-01 ,
2627,-1.181E-01 -1.750E-01 -1.804E+01 9.460E-01 -6.542E+00 2.475E-01 ,
2628,-4.448E-02 4.580E-01 -1.944E+01 7.274E-01 -6.920E+00 2.998E-01 ,
2629,-2.714E-01 -1.347E+00 -2.455E+01 9.025E-01 -4.966E+00 -3.588E-01 ,
2630,-7.086E-01 -3.261E+00 -2.302E+01 8.184E-01 -3.965E+00 -1.057E+00 ,
2631,-1.704E+00 -4.453E+00 -2.120E+01 9.889E-01 -2.144E+00 -2.243E+00 ,
2632,-4.631E+00 -6.690E+00 -1.930E+01 7.317E-01 7.164E-01 -4.073E+00 ,
2633,-4.687E-01 -3.202E-01 -4.497E+01 6.743E-01 -3.274E+00 -3.181E-01 ,
2634,-1.339E+00 -2.371E+00 -4.290E+01 9.369E-01 -3.629E+00 -1.255E+00 ,
2635,-3.419E+00 -7.785E+00 -4.249E+01 7.441E-01 -3.682E+00 -4.152E+00 ,
2636,-1.177E+01 -1.588E+01 -4.484E+01 8.070E-01 -1.566E+00 -9.422E+00 ,
2637,-1.305E+00 -1.336E+00 -5.034E+01 4.522E-01 -3.128E+00 -1.455E+00 ,
2638,-9.116E-01 -1.928E-01 -5.935E+01 -5.506E-02 -8.018E-01 -2.020E+00 ,
2639,-3.283E-01 3.907E-01 -5.204E+01 3.629E-01 -1.902E+00 -8.496E-01 ,
2640,-4.075E-01 7.149E-01 -5.834E+01 1.028E-01 1.217E-02 -1.134E+00 ,
2641,-3.395E+00 -4.616E+00 -5.771E+01 7.567E-01 -3.803E+00 -3.906E+00 ,
2642,-1.642E+01 -2.013E+01 -6.401E+01 9.591E-01 -4.551E+00 -1.243E+01 ,
2643,-3.621E+00 -2.738E+00 -6.636E+01 1.523E-01 -2.828E+00 -5.156E+00 ,
2644,-1.974E+01 -2.156E+01 -7.654E+01 1.085E+00 -6.850E+00 -1.438E+01 ,
2645,-1.634E+01 -1.297E+01 -8.560E+01 -1.081E-01 -7.341E+00 -1.438E+01 ,
2646,-3.736E+00 -6.944E+00 -5.100E+01 9.850E-01 -3.986E+00 -3.998E+00 ,
2647,-1.387E+01 -1.771E+01 -5.330E+01 8.085E-01 -2.994E+00 -1.103E+01 ,
2648,-3.166E-01 -2.695E+00 -2.954E+01 1.052E+00 -3.753E+00 -1.081E+00 ,
2649,-6.881E-01 -3.086E+00 -3.569E+01 9.425E-01 -3.958E+00 -1.219E+00 ,
