 Element ID, Tensor(Element Stresses (2D & 3D)),
65,-1.406E+00 1.650E+00 6.390E-01 1.325E+00 6.577E-01 -7.968E+00 ,
66,-4.250E+00 -2.770E+00 -3.535E+00 -6.341E-01 3.969E+00 9.883E-01 ,
67,-1.094E+01 -1.023E+01 -1.145E+01 1.112E+00 1.433E+00 1.928E+00 ,
68,1.961E+00 1.694E-01 3.772E-01 -2.999E-01 6.855E-01 1.170E+01 ,
69,2.986E+00 2.992E-01 3.759E-01 -5.062E-01 9.334E-01 1.132E+01 ,
70,2.117E+00 2.003E+00 3.310E+01 -2.052E-01 -1.784E+00 1.046E+00 ,
71,3.449E+00 1.064E+00 3.689E+00 -3.202E+00 1.281E+00 3.781E+00 ,
72,-6.490E+00 1.976E+00 5.498E+00 4.571E-01 -3.087E-02 5.775E+00 ,
73,7.708E+00 -4.971E+00 -2.696E+00 -8.179E-01 -9.746E-01 -7.246E+00 ,
74,3.133E-02 3.404E+00 4.042E+00 -3.593E-01 -8.649E-01 -1.245E+00 ,
75,4.631E+00 -8.258E+00 2.187E+01 1.128E+00 -1.810E+01 6.474E-02 ,
76,-2.634E+00 -4.820E-01 4.639E+00 -3.631E-01 -6.544E-01 -1.002E+01 ,
77,-2.765E-02 1.113E+00 1.361E-01 -1.259E-01 5.088E-02 5.234E-02 ,
78,7.501E+00 -3.216E+00 -7.811E-01 -3.669E+00 3.150E-01 4.075E+00 ,
79,-3.345E+00 -5.325E+00 2.973E+01 -5.915E-01 -1.782E+00 -5.006E-01 ,
80,8.909E-01 -1.352E+00 2.430E+01 -7.266E-02 -1.262E+00 -3.200E-01 ,
81,2.351E+00 4.505E+00 1.418E+01 1.897E+00 2.152E+01 -7.720E-02 ,
82,5.577E-01 -1.178E+01 2.910E+01 -1.335E+00 -2.592E+00 4.813E+00 ,
83,4.670E+00 1.654E+00 2.734E+01 -7.072E-01 6.199E+00 5.162E-01 ,
84,-2.540E+01 -5.172E+01 -1.290E+01 -4.000E+00 -2.721E+00 -2.814E+00 ,
85,-1.033E+00 -9.705E+00 7.998E+00 -7.817E-01 -6.499E+00 -3.190E-01 ,
86,-9.237E-01 3.825E-01 1.169E+01 2.702E-02 1.584E+00 -6.341E-02 ,
87,-3.459E+00 -2.746E+00 1.355E+01 -5.117E-02 -4.070E+00 -2.842E-02 ,
88,7.186E+00 2.376E+00 3.773E+00 -4.831E+00 2.242E-01 3.200E+00 ,
89,4.274E+01 3.139E+01 1.102E+02 2.921E+00 -5.991E+00 2.371E+00 ,
90,-6.640E+00 -4.687E-01 6.203E-01 -1.148E+00 1.030E+00 2.395E+00 ,
91,-8.525E-02 9.464E-01 1.366E+01 1.064E-02 -1.432E+00 1.784E-01 ,
92,3.825E+00 4.777E+00 2.162E+01 3.168E-02 3.605E+00 -4.143E-02 ,
93,-5.388E+00 -1.789E+00 2.119E+00 -3.234E+00 1.465E+00 2.556E+00 ,
94,-1.241E+00 -1.573E+00 1.582E-01 -5.889E-01 6.380E-01 8.029E+00 ,
95,8.370E-01 1.721E+01 7.491E+00 2.118E+00 -1.605E+01 8.170E-01 ,
96,1.396E-01 -6.841E-01 3.500E+01 2.178E-01 5.825E-01 -3.726E-01 ,
97,-2.363E+01 -8.250E+00 -3.638E+00 -1.778E-01 -7.629E-01 1.128E+00 ,
98,-1.281E+01 -2.826E+00 -2.791E+00 -3.505E-01 -3.573E-01 3.861E-01 ,
99,1.086E+01 8.681E-01 1.599E+00 2.872E+00 -9.168E-01 -6.028E-02 ,
100,-5.941E+01 -3.851E+01 -4.505E+01 -9.870E+00 -1.236E+01 -8.290E+00 ,
101,-1.188E+01 -4.352E+00 -5.095E-01 3.473E+00 5.092E-01 2.555E+00 ,
102,-2.062E+01 -1.517E+01 -6.523E+00 -4.005E+00 -7.040E-01 -4.925E+00 ,
103,4.608E+00 4.201E+00 3.006E+01 6.553E-01 -4.861E+00 -3.314E+00 ,
104,3.189E+00 -8.918E+00 2.218E+01 -4.703E+00 -1.211E+00 6.135E+00 ,
105,-3.780E-01 1.325E+00 -2.203E-02 -4.166E+00 -4.633E-01 2.643E+00 ,
106,4.946E-01 -1.255E+00 2.541E+01 7.428E-01 -6.098E+00 4.019E+00 ,
