 Element ID, Tensor(Element Stresses (2D & 3D)),
64,-5.395E-03 -4.759E-03 -4.397E-03 6.631E-04 -6.853E-04 1.605E-03 ,
65,1.574E-03 -4.999E-05 1.763E-04 6.994E-04 -2.806E-04 1.755E-03 ,
66,-4.000E-01 1.988E-02 3.710E-03 2.519E-02 -7.254E-03 -4.512E-03 ,
67,1.569E-02 -5.947E-03 -7.999E-02 -7.186E-04 6.033E-03 1.954E-01 ,
68,-2.225E-01 -1.793E-01 2.216E-01 -3.020E-02 -4.798E-03 -4.310E-03 ,
69,-7.521E-02 -7.941E-02 -1.830E-01 3.229E-02 1.774E-02 -1.298E-01 ,
70,-7.795E-01 -9.060E-01 -1.019E+00 -5.490E-02 1.884E-01 2.129E-01 ,
71,-6.321E-02 -1.111E-01 -4.803E-01 1.960E-02 3.685E-02 3.827E-01 ,
72,-1.293E-02 -9.819E-03 -8.320E-03 1.205E-04 9.852E-04 1.128E-02 ,
73,2.864E-01 2.132E-01 1.751E+00 5.581E-02 -3.425E-02 -9.395E-02 ,
74,-4.507E-02 -4.083E-02 -6.319E-03 8.569E-03 -3.529E-03 -4.562E-03 ,
75,-2.392E-02 -2.129E-02 5.767E-01 1.842E-02 -8.077E-03 1.835E-01 ,
76,-3.232E-03 -2.762E-03 -7.806E-04 7.884E-04 2.138E-04 -3.573E-04 ,
77,1.575E-02 -3.432E-03 2.744E-01 4.948E-04 -7.339E-02 4.242E-02 ,
78,1.665E-01 1.858E-01 1.737E+00 7.635E-02 -7.968E-02 9.822E-02 ,
79,-8.349E-02 -3.541E-01 -6.807E-01 -4.645E-02 -2.399E-01 4.552E-02 ,
80,-2.914E-01 8.533E-02 1.259E-01 -3.849E-02 5.150E-02 1.210E-01 ,
81,-1.090E-01 -1.173E-01 5.903E-01 -2.770E-03 -3.988E-03 -2.915E-02 ,
82,-6.489E-02 -6.819E-02 -1.778E-01 -8.360E-03 1.023E-02 2.422E-01 ,
83,4.240E-04 6.019E-04 1.302E-03 1.900E-04 1.372E-03 1.240E-02 ,
84,8.623E-02 1.236E-01 1.169E+00 1.670E-02 -1.193E-02 -5.851E-02 ,
85,-1.620E-01 -1.632E-01 3.367E-01 4.534E-02 -1.088E-02 2.356E-01 ,
86,1.925E-01 -1.100E-01 -6.820E-01 2.069E-03 3.428E-02 -9.758E-02 ,
87,7.595E-02 3.896E-02 5.413E-01 2.391E-03 -2.147E-03 1.608E-01 ,
88,6.485E-02 2.545E-02 2.354E-02 -1.410E-03 5.728E-03 1.689E-01 ,
89,-1.211E-02 -7.098E-04 -4.911E-04 6.612E-04 -2.776E-04 -1.188E-03 ,
90,2.276E-03 -3.180E-03 -5.893E-03 1.002E-04 -5.117E-04 3.498E-03 ,
91,2.447E-02 1.455E-02 -9.568E-01 8.103E-03 -2.349E-02 1.468E-01 ,
92,1.304E-01 1.593E-01 1.179E+00 -1.817E-02 2.312E-03 5.308E-02 ,
93,-1.864E-01 -3.730E-02 6.410E-02 -6.276E-02 -9.831E-02 1.692E-02 ,
94,-6.733E-03 3.631E-04 1.024E-03 -1.139E-03 -2.752E-04 2.853E-04 ,
95,-1.459E-01 -1.864E-01 4.620E-01 -1.125E-02 1.806E-02 -2.525E-02 ,
96,-3.628E-02 -6.259E-02 -1.274E-01 6.997E-03 -1.867E-03 1.885E-01 ,
97,-7.445E-03 1.107E-03 2.343E-03 2.280E-04 -1.282E-05 -9.558E-04 ,
98,8.426E-03 1.543E-01 4.454E-01 -1.988E-01 2.720E-01 7.343E-03 ,
